Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos Summary
Bergeron,Peter,MON,NL,11,11,1.0,OF
Berkman,Lance,HOU,NL,160,158,-3.0,OF-1B
Berroa,Angel,KCR,AL,133,132,-10.0,SS
Betemit,Wilson,ATL,NL,17,11,1.0,SS-3B
Bigbie,Larry,BAL,AL,134,131,-3.0,OF
Biggio,Craig,HOU,NL,149,149,-15.0,OF
Blake,Casey,CLE,AL,152,151,-12.0,3B-1B
Blalock,Hank,TEX,AL,159,154,1.0,3B
Blanco,Andrés,KCR,AL,19,19,4.0,SS
Blanco,Henry,MIN,AL,114,95,6.0,C
Bloomquist,Willie,SEA,AL,78,55,-9.0,3B-SS-1B-OF-2B
Blum,Geoff,TBD,AL,108,88,-2.0,3B-2B-OF-1B-SS
Bocachica,Hiram,SEA,AL,44,25,1.0,OF
Bonds,Barry,SFG,NL,133,132,2.0,OF
Boone,Bret,SEA,AL,148,148,-11.0,2B
Borchard,Joe,CHW,AL,56,52,2.0,OF
Borders,Pat,TOT,AL,38,31,3.0,C
Bowen,Rob,MIN,AL,15,8,0.0,C
Bradley,Milton,LAD,NL,138,137,15.0,OF
Bragg,Darren,CIN,NL,26,18,6.0,OF
Branyan,Russell,MIL,NL,45,41,-1.0,3B-1B
Brazell,Craig,NYM,NL,7,3,0.0,1B
Brito,Juan,ARI,NL,54,53,-2.0,C
Broussard,Ben,CLE,AL,133,107,-2.0,1B
Brown,Adrian,KCR,AL,5,3,-1.0,OF
Brown,Dee,KCR,AL,53,49,-1.0,OF
Bruntlett,Eric,HOU,NL,40,12,-1.0,SS-2B-OF
Buchanan,Brian,TOT,NL,22,14,-5.0,OF-1B
Buck,John,KCR,AL,68,66,-3.0,C
Burke,Chris,HOU,NL,7,2,2.0,2B
Burke,Jamie,CHW,AL,51,33,4.0,C-OF-1B-3B
Burnitz,Jeromy,COL,NL,143,137,-9.0,OF
Burrell,Pat,PHI,NL,122,121,1.0,OF
Burroughs,Sean,SDP,NL,125,119,-4.0,3B
Bush,Homer,NYY,AL,4,2,0.0,2B
Byrd,Marlon,PHI,NL,92,86,3.0,OF
Byrnes,Eric,OAK,AL,141,137,9.0,OF
Cabrera,Jolbert,SEA,AL,105,90,5.0,3B-OF-1B-2B-SS
Cabrera,Miguel,FLA,NL,158,158,-10.0,OF
Cabrera,Orlando,TOT,ZZ,158,157,0.0,SS
Cairo,Miguel,NYY,AL,122,103,-2.0,2B-3B-SS-1B
Calloway,Ron,MON,NL,20,15,-3.0,OF
Cameron,Mike,NYM,NL,135,132,-2.0,OF
Cantu,Jorge,TBD,AL,45,43,1.0,2B-3B-SS
Carroll,Jamey,MON,NL,69,51,0.0,2B-3B-SS-OF
Casey,Sean,CIN,NL,145,142,4.0,1B
Cash,Kevin,TOR,AL,60,50,2.0,C
Castilla,Vinny,COL,NL,148,147,17.0,3B
Castillo,Alberto,KCR,AL,29,28,2.0,C
Castillo,Jose,PIT,NL,124,105,-7.0,2B-SS
Castillo,Luis,FLA,NL,148,147,17.0,2B
Castro,Juan,CIN,NL,107,66,1.0,3B-SS-2B-1B
Castro,Ramon,FLA,NL,31,27,1.0,C
Castro,Ramon,OAK,AL,7,3,-1.0,3B-SS
