,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos
365,Gerut,Jody,435.0,CLE,AL,548.0,11.0,51.0,13.0,0.252,0.739,,,,
368,,,,,,,,,,,,132.0,124.0,-3.0,C
372,Giles,Brian,441.0,SDP,NL,711.0,23.0,94.0,10.0,0.284,0.849,,,,
373,,,,,,,,,,,,160.0,160.0,-14.0,OF
394,,,,,,,,,,,,128.0,116.0,4.0,2B
395,,,,,,,,,,,,137.0,132.0,-7.0,OF-1B
407,Green,Shawn,481.0,LAD,NL,671.0,28.0,86.0,5.0,0.266,0.811,137.0,137.0,-15.0,3B-SS
408,Greene,Khalil,482.0,SDP,NL,554.0,15.0,65.0,4.0,0.273,0.795,,,,
416,Grissom,Marquis,494.0,SFG,NL,606.0,22.0,90.0,3.0,0.279,0.773,,,,
419,,,,,,,,,,,,144.0,142.0,-4.0,1B-C
422,Guerrero,Vladimir,500.0,ANA,AL,680.0,39.0,126.0,15.0,0.337,0.989,,,,
426,Guillen,Jose,505.0,ANA,AL,621.0,27.0,104.0,5.0,0.294,0.849,,,,
427,Guillen,Carlos,504.0,DET,AL,583.0,20.0,97.0,12.0,0.318,0.921,,,,
429,Guzman,Cristian,509.0,MIN,AL,624.0,8.0,46.0,10.0,0.274,0.693,,,,
430,,,,,,,,,,,,124.0,118.0,2.0,1B
438,,,,,,,,,,,,158.0,150.0,-2.0,1B
440,,,,,,,,,,,,130.0,128.0,-5.0,1B
442,,,,,,,,,,,,157.0,152.0,11.0,OF
444,,,,,,,,,,,,137.0,115.0,17.0,OF
446,,,,,,,,,,,,135.0,131.0,-10.0,1B
458,Hatteberg,Scott,545.0,OAK,AL,638.0,15.0,82.0,0.0,0.284,0.787,,,,
462,,,,,,,,,,,,162.0,162.0,-10.0,OF
464,Helton,Todd,551.0,COL,NL,683.0,32.0,96.0,3.0,0.347,1.088,153.0,152.0,25.0,OF
465,,,,,,,,,,,,120.0,116.0,8.0,2B-3B
468,,,,,,,,,,,,134.0,126.0,-3.0,C
472,,,,,,,,,,,,150.0,150.0,15.0,1B
480,,,,,,,,,,,,144.0,141.0,1.0,3B
481,Hidalgo,Richard,568.0,TOT,NL,579.0,25.0,82.0,4.0,0.239,0.745,132.0,132.0,-11.0,OF
482,,,,,,,,,,,,121.0,120.0,5.0,3B-1B
484,,,,,,,,,,,,147.0,134.0,8.0,OF
487,Hillenbrand,Shea,576.0,ARI,NL,604.0,15.0,80.0,2.0,0.31,0.812,,,,
489,Hinske,Eric,578.0,TOR,AL,634.0,15.0,69.0,12.0,0.246,0.688,149.0,148.0,7.0,SS
499,,,,,,,,,,,,150.0,148.0,-7.0,2B
502,,,,,,,,,,,,155.0,155.0,3.0,3B-SS
503,,,,,,,,,,,,124.0,123.0,-3.0,C
504,Hudson,Orlando,595.0,TOR,AL,551.0,12.0,58.0,7.0,0.27,0.779,141.0,139.0,27.0,3B
505,Huff,Aubrey,597.0,TBD,AL,667.0,29.0,104.0,5.0,0.297,0.853,154.0,153.0,11.0,SS
508,Hunter,Torii,600.0,MIN,AL,569.0,23.0,81.0,21.0,0.271,0.805,,,,
510,Ibanez,Raul,602.0,SEA,AL,524.0,16.0,62.0,1.0,0.304,0.825,137.0,122.0,8.0,OF
511,Infante,Omar,603.0,DET,AL,556.0,16.0,55.0,13.0,0.264,0.766,,,,
515,Izturis,Cesar,607.0,LAD,NL,728.0,4.0,62.0,25.0,0.288,0.71,,,,
522,Jenkins,Geoff,617.0,MIL,NL,681.0,27.0,93.0,3.0,0.264,0.798,,,,
524,Jeter,Derek,619.0,NYY,AL,721.0,23.0,78.0,23.0,0.292,0.823,,,,
525,,,,,,,,,,,,136.0,136.0,-11.0,OF-3B
526,Jimenez,D'Angelo,620.0,CIN,NL,652.0,12.0,67.0,13.0,0.27,0.758,,,,
530,Johnson,Reed,627.0,TOR,AL,582.0,10.0,61.0,6.0,0.27,0.699,,,,
534,Jones,Andruw,629.0,ATL,NL,646.0,29.0,91.0,6.0,0.261,0.833,,,,
535,Jones,Chipper,630.0,ATL,NL,567.0,30.0,96.0,2.0,0.248,0.847,,,,
536,Jones,Jacque,631.0,MIN,AL,608.0,24.0,80.0,13.0,0.254,0.742,,,,
537,,,,,,,,,,,,142.0,142.0,-20.0,2B
538,,,,,,,,,,,,124.0,124.0,6.0,OF
546,Kendall,Jason,643.0,PIT,NL,658.0,3.0,51.0,11.0,0.319,0.789,,,,
548,Kennedy,Adam,644.0,ANA,AL,533.0,10.0,48.0,15.0,0.278,0.757,158.0,158.0,27.0,OF
550,Kent,Jeff,647.0,HOU,NL,606.0,27.0,107.0,7.0,0.289,0.88,,,,
554,,,,,,,,,,,,143.0,142.0,7.0,1B-OF
555,,,,,,,,,,,,162.0,162.0,2.0,SS
560,,,,,,,,,,,,134.0,134.0,3.0,1B
566,Konerko,Paul,666.0,CHW,AL,643.0,41.0,117.0,1.0,0.277,0.894,,,,
568,,,,,,,,,,,,138.0,122.0,6.0,3B-1B-OF
570,Kotsay,Mark,670.0,OAK,AL,673.0,15.0,63.0,8.0,0.314,0.829,,,,
571,,,,,,,,,,,,124.0,114.0,-1.0,OF
573,,,,,,,,,,,,130.0,121.0,4.0,2B-SS-3B
578,,,,,,,,,,,,122.0,117.0,9.0,SS
580,,,,,,,,,,,,130.0,121.0,3.0,C
585,,,,,,,,,,,,147.0,141.0,-1.0,SS
587,Lawton,Matt,687.0,CLE,AL,680.0,20.0,70.0,23.0,0.277,0.787,,,,
590,Lee,Carlos,692.0,CHW,AL,658.0,31.0,99.0,11.0,0.305,0.891,131.0,130.0,-6.0,OF
591,Lee,Derrek,694.0,CHC,NL,688.0,32.0,98.0,12.0,0.278,0.86,,,,
593,,,,,,,,,,,,141.0,131.0,-7.0,3B-2B-1B
594,,,,,,,,,,,,157.0,154.0,14.0,1B-OF
598,,,,,,,,,,,,151.0,148.0,-16.0,OF-1B-C
601,,,,,,,,,,,,156.0,155.0,8.0,SS
604,Lieberthal,Mike,709.0,PHI,NL,529.0,17.0,61.0,1.0,0.271,0.783,,,,
605,,,,,,,,,,,,154.0,151.0,-1.0,OF
607,,,,,,,,,,,,133.0,125.0,12.0,2B
613,,,,,,,,,,,,158.0,158.0,-25.0,SS
620,Lopez,Javy,731.0,BAL,AL,638.0,23.0,86.0,0.0,0.316,0.872,,,,
627,Loretta,Mark,738.0,SDP,NL,707.0,16.0,76.0,5.0,0.335,0.886,,,,
629,Lowell,Mike,740.0,FLA,NL,671.0,27.0,85.0,5.0,0.293,0.87,,,,
631,Lo Duca,Paul,719.0,TOT,NL,594.0,13.0,80.0,4.0,0.286,0.758,,,,
633,Lugo,Julio,743.0,TBD,AL,655.0,7.0,75.0,21.0,0.275,0.734,,,,
641,Mackowiak,Rob,749.0,PIT,NL,555.0,17.0,75.0,13.0,0.246,0.739,,,,
660,Martinez,Victor,774.0,CLE,AL,591.0,23.0,108.0,0.0,0.283,0.851,,,,
669,Matsui,Hideki,782.0,NYY,AL,680.0,31.0,108.0,3.0,0.298,0.912,,,,
699,Miles,Aaron,821.0,COL,NL,566.0,6.0,47.0,12.0,0.293,0.697,,,,
700,Millar,Kevin,822.0,BOS,AL,588.0,18.0,74.0,1.0,0.297,0.857,,,,
718,Mora,Melvin,842.0,BAL,AL,636.0,27.0,104.0,11.0,0.34,0.981,,,,
747,Nevin,Phil,873.0,SDP,NL,623.0,26.0,105.0,0.0,0.289,0.859,,,,
763,Olerud,John,893.0,TOT,AL,500.0,9.0,48.0,0.0,0.259,0.733,,,,
778,Overbay,Lyle,914.0,MIL,NL,668.0,16.0,87.0,2.0,0.301,0.863,,,,
782,Palmeiro,Rafael,919.0,BAL,AL,651.0,23.0,88.0,2.0,0.258,0.796,,,,
788,Patterson,Corey,923.0,CHC,NL,687.0,24.0,72.0,32.0,0.266,0.771,,,,
791,Payton,Jay,928.0,SDP,NL,511.0,8.0,55.0,2.0,0.26,0.693,,,,
795,Pena,Carlos,932.0,DET,AL,562.0,27.0,82.0,7.0,0.241,0.81,,,,
818,Pierre,Juan,964.0,FLA,NL,748.0,3.0,49.0,45.0,0.326,0.781,,,,
821,Podsednik,Scott,967.0,MIL,NL,713.0,12.0,39.0,70.0,0.244,0.677,,,,
822,Polanco,Placido,968.0,PHI,NL,555.0,17.0,55.0,7.0,0.298,0.786,,,,
827,Posada,Jorge,973.0,NYY,AL,547.0,21.0,81.0,1.0,0.272,0.881,,,,
836,Pujols,Albert,982.0,STL,NL,692.0,46.0,123.0,5.0,0.331,1.072,,,,
849,Ramirez,Aramis,993.0,CHC,NL,606.0,36.0,103.0,0.0,0.318,0.951,,,,
850,Ramirez,Manny,997.0,BOS,AL,663.0,43.0,130.0,2.0,0.308,1.009,,,,
854,Randa,Joe,998.0,KCR,AL,539.0,8.0,56.0,0.0,0.287,0.751,,,,
860,Redman,Tike,1005.0,PIT,NL,581.0,8.0,51.0,18.0,0.28,0.684,,,,
869,Renteria,Edgar,1014.0,STL,NL,642.0,10.0,72.0,17.0,0.287,0.728,,,,
892,Roberts,Brian,1035.0,BAL,AL,736.0,4.0,53.0,29.0,0.273,0.72,,,,
897,Rodriguez,Alex,1044.0,NYY,AL,698.0,36.0,106.0,28.0,0.286,0.888,,,,
900,Rodriguez,Ivan,1050.0,DET,AL,575.0,19.0,86.0,7.0,0.334,0.893,,,,
904,Rolen,Scott,1053.0,STL,NL,593.0,34.0,124.0,4.0,0.314,1.007,,,,
905,Rollins,Jimmy,1054.0,PHI,NL,725.0,14.0,73.0,30.0,0.289,0.803,,,,
911,Rowand,Aaron,1062.0,CHW,AL,534.0,24.0,69.0,17.0,0.31,0.905,,,,
942,Sheffield,Gary,1096.0,NYY,AL,684.0,36.0,121.0,5.0,0.29,0.927,,,,
962,Soriano,Alfonso,1118.0,TEX,AL,658.0,28.0,91.0,18.0,0.28,0.807,,,,
964,Sosa,Sammy,1120.0,CHC,NL,539.0,35.0,80.0,0.0,0.253,0.849,,,,
984,Suzuki,Ichiro,1143.0,SEA,AL,762.0,8.0,60.0,36.0,0.372,0.869,,,,
997,Teixeira,Mark,1156.0,TEX,AL,625.0,38.0,112.0,4.0,0.281,0.929,,,,
998,Tejada,Miguel,1157.0,BAL,AL,725.0,34.0,150.0,4.0,0.311,0.894,,,,
1005,Thome,Jim,1165.0,PHI,NL,618.0,42.0,105.0,0.0,0.274,0.977,,,,
1021,Tracy,Chad,1181.0,ARI,NL,532.0,8.0,53.0,2.0,0.285,0.75,,,,
1026,Tucker,Michael,1185.0,SFG,NL,547.0,13.0,62.0,5.0,0.256,0.765,,,,
1030,Uribe,Juan,1190.0,CHW,AL,553.0,23.0,74.0,9.0,0.283,0.833,,,,
1037,Valentin,Jose,1199.0,CHW,AL,504.0,30.0,70.0,8.0,0.216,0.76,,,,
1044,Varitek,Jason,1206.0,BOS,AL,536.0,18.0,73.0,10.0,0.296,0.872,,,,
1055,Vizquel,Omar,1218.0,CLE,AL,651.0,7.0,59.0,19.0,0.291,0.741,,,,
1076,Wells,Vernon,1244.0,TOR,AL,590.0,23.0,67.0,9.0,0.272,0.809,,,,
1086,Wigginton,Ty,1256.0,TOT,NL,545.0,17.0,66.0,7.0,0.261,0.757,,,,
1087,Wilkerson,Brad,1259.0,MON,NL,688.0,32.0,67.0,13.0,0.255,0.872,,,,
1096,Wilson,Craig,1268.0,PIT,NL,644.0,29.0,82.0,2.0,0.264,0.853,,,,
1098,Wilson,Jack,1271.0,PIT,NL,693.0,11.0,59.0,8.0,0.308,0.794,,,,
1104,Winn,Randy,1278.0,SEA,AL,703.0,14.0,81.0,21.0,0.286,0.772,,,,
1109,Womack,Tony,1283.0,STL,NL,606.0,5.0,38.0,26.0,0.307,0.735,,,,
1124,Young,Michael,1300.0,TEX,AL,739.0,22.0,99.0,12.0,0.313,0.836,,,,
