,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
718,Mora,Melvin,842,BAL,AL,636,27,104,11,0.34,0.981,0.423,5.6,137,137,-15,3B-SS,0
747,Nevin,Phil,873,SDP,NL,623,26,105,0,0.289,0.859,0.375,3.1,144,142,-4,1B-C,0
763,Olerud,John,893,TOT,AL,500,9,48,0,0.259,0.733,0.332,1,124,118,2,1B,0
778,Overbay,Lyle,914,MIL,NL,668,16,87,2,0.301,0.863,0.378,1.6,158,150,-2,1B,0
782,Palmeiro,Rafael,919,BAL,AL,651,23,88,2,0.258,0.796,0.351,0.8,130,128,-5,1B,0
788,Patterson,Corey,923,CHC,NL,687,24,72,32,0.266,0.771,0.342,3,157,152,11,OF,0
791,Payton,Jay,928,SDP,NL,511,8,55,2,0.26,0.693,0.31,1.9,137,115,17,OF,0
795,Pena,Carlos,932,DET,AL,562,27,82,7,0.241,0.81,0.355,2.8,135,131,-10,1B,0
818,Pierre,Juan,964,FLA,NL,748,3,49,45,0.326,0.781,0.359,3.9,162,162,-10,OF,0
821,Podsednik,Scott,967,MIL,NL,713,12,39,70,0.244,0.677,0.322,0.6,153,152,25,OF,0
822,Polanco,Placido,968,PHI,NL,555,17,55,7,0.298,0.786,0.349,1.7,120,116,8,2B-3B,0
827,Posada,Jorge,973,NYY,AL,547,21,81,1,0.272,0.881,0.394,3.5,134,126,-3,C,0
836,Pujols,Albert,982,STL,NL,692,46,123,5,0.331,1.072,0.46,8.5,150,150,15,1B,0
849,Ramirez,Aramis,993,CHC,NL,606,36,103,0,0.318,0.951,0.411,4.4,144,141,1,3B,0
850,Ramirez,Manny,997,BOS,AL,663,43,130,2,0.308,1.009,0.424,4.1,132,132,-11,OF,0
854,Randa,Joe,998,KCR,AL,539,8,56,0,0.287,0.751,0.338,2.7,121,120,5,3B-1B,0
860,Redman,Tike,1005,PIT,NL,581,8,51,18,0.28,0.684,0.306,0.2,147,134,8,OF,0
869,Renteria,Edgar,1014,STL,NL,642,10,72,17,0.287,0.728,0.327,2.1,149,148,7,SS,0
892,Roberts,Brian,1035,BAL,AL,736,4,53,29,0.273,0.72,0.338,2.4,150,148,-7,2B,0
897,Rodriguez,Alex,1044,NYY,AL,698,36,106,28,0.286,0.888,0.402,7.6,155,155,3,3B-SS,0
900,Rodriguez,Ivan,1050,DET,AL,575,19,86,7,0.334,0.893,0.384,4.5,124,123,-3,C,0
904,Rolen,Scott,1053,STL,NL,593,34,124,4,0.314,1.007,0.422,9.2,141,139,27,3B,0
905,Rollins,Jimmy,1054,PHI,NL,725,14,73,30,0.289,0.803,0.361,4.7,154,153,11,SS,0
911,Rowand,Aaron,1062,CHW,AL,534,24,69,17,0.31,0.905,0.396,5.7,137,122,8,OF,0
