Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1168,Andy Sonnanstine*,TBR,AL,12,0,1,0,0.273,0.697,14,7,,P,,1
1169,Joakim Soria,KCR,AL,0,0,0,0,,,32,32,,P,,0
1170,Alfonso Soriano,CHC,NL,522,20,55,9,0.241,0.726,62,48,-6,SS-2B-3B,,0.4
1171,Rafael Soriano,ATL,NL,0,0,0,0,,,19,0,,P,,0
1172,Jorge Sosa,WSN,NL,1,0,0,0,,,6,0,0,SS-3B,,-0.3
1173,Geovany Soto,CHC,NL,389,11,47,1,0.218,0.702,76,62,-3,OF-2B,,-0.1
1174,Jeremy Sowers*,CLE,AL,2,0,0,0,0,0,81,71,12,OF,,0
1175,Denard Span*,MIN,AL,676,8,68,23,0.311,0.807,47,0,,P,,0
1176,Justin Speier,LAA,AL,0,0,0,0,,,35,35,,P,,1.5
1177,Ryan Speier,COL,NL,0,0,0,0,,,149,149,-11,OF,,0
1178,Ryan Spilborghs,COL,NL,393,8,48,9,0.241,0.705,64,6,,P,,-0.2
1179,Russ Springer,TOT,AL,0,0,0,0,,,63,0,,P,,0.3
1180,Russ Springer,OAK,AL,0,0,0,0,,,9,0,,P,,-0.5
1181,Russ Springer,TBR,AL,0,0,0,0,,,15,0,,P,,0
1182,Matt Stairs*,PHI,NL,129,5,17,0,0.194,0.735,60,45,13,SS-2B-3B,,-0.1
1183,Craig Stammen,WSN,NL,37,0,4,0,0.194,0.533,9,9,,P,,-0.1
1184,Craig Stansberry,SDP,NL,1,0,0,0,0,0,29,29,,P,,0.9
1185,Tim Stauffer,SDP,NL,27,0,0,0,0.174,0.414,130,128,-2,1B,,
1186,Nick Stavinoha,STL,NL,91,2,17,1,0.23,0.621,3,0,,P,,-0.1
1187,Mitch Stetter*,MIL,NL,0,0,0,0,,,27,0,,P,,3.7
1188,Jeff Stevens,CHC,NL,0,0,0,0,,,5,0,,P,,0
1189,Ian Stewart*,COL,NL,491,25,70,7,0.228,0.785,17,0,,P,,0
1190,Brian Stokes,NYM,NL,1,0,0,0,,,34,34,,P,,0
1191,Tobi Stoner#,NYM,NL,0,0,0,0,,,21,21,,P,,0
1192,Huston Street,COL,NL,0,0,0,0,,,22,0,,P,,0.9
1193,Drew Stubbs,CIN,NL,196,8,17,10,0.267,0.762,9,8,-2,3B,,-0.2
1194,Eric Stults*,LAD,NL,21,0,2,0,0.067,0.277,32,0,,P,,-0.2
1195,Cory Sullivan*,NYM,NL,157,2,15,7,0.25,0.72,8,1,,P,,4.8
1196,Jeff Suppan,MIL,NL,56,0,5,0,0.143,0.384,12,9,,P,,0
1197,Drew Sutton#,CIN,NL,76,1,9,0,0.212,0.646,28,28,,P,,0
1198,Ichiro Suzuki*,SEA,AL,678,11,46,26,0.352,0.851,5,1,,P,,
1199,Kurt Suzuki,OAK,AL,614,15,88,8,0.274,0.734,68,0,,P,,0
1200,Anthony Swarzak,MIN,AL,2,0,0,0,0,0,28,7,,P,,0.4
1201,Mike Sweeney,SEA,AL,266,8,34,0,0.281,0.777,33,33,,P,,0
1202,Ryan Sweeney*,OAK,AL,534,6,53,6,0.293,0.755,1,1,,P,,0
1203,R.J. Swindle*,MIL,NL,0,0,0,0,,,28,0,,P,,-0.6
1204,Nick Swisher#,NYY,AL,607,29,82,0,0.249,0.869,35,35,1,2B,,0
1205,Jon Switzer*,NYM,NL,0,0,0,0,,,28,21,,P,,-0.1
1206,So Taguchi,CHC,NL,12,0,0,0,0.273,0.697,33,7,,P,,-0.1
1207,Ken Takahashi*,NYM,NL,2,0,0,0,0,0,27,27,,P,,0
1208,Brian Tallet*,TOR,AL,2,0,0,0,0,0,155,153,-9,OF,,
1209,Jack Taschner*,PHI,NL,2,0,0,0,0,0,157,152,-2,OF,,0
1210,Fernando Tatís,NYM,NL,379,8,48,4,0.282,0.777,20,20,,P,,0.1
1211,Craig Tatum,CIN,NL,77,1,6,0,0.162,0.471,69,0,,P,,0
1212,Julian Tavarez*,WSN,NL,1,0,0,0,0,0,3,0,,P,,0
1213,Willy Taveras,CIN,NL,437,1,15,25,0.24,0.559,52,0,,P,,0
1214,Graham Taylor*,FLA,NL,5,0,0,0,0,0,30,28,-3,1B,,1.9
1215,Taylor Teagarden,TEX,AL,218,6,24,0,0.217,0.644,47,33,0,C,,-0.2
1216,Mark Teahen*,KCR,AL,571,12,50,8,0.271,0.734,86,84,0,C,,-0.1
1217,Mark Teixeira#,NYY,AL,707,39,122,2,0.292,0.948,92,77,-17,1B-3B-2B-SS-OF,,0.1
1218,Miguel Tejada,HOU,NL,674,14,86,5,0.313,0.795,25,0,,P,,0.9
1219,Marcus Thames,DET,AL,294,13,36,0,0.252,0.777,118,115,6,OF-1B,,4.5
1220,Joe Thatcher*,SDP,NL,0,0,0,0,,,7,7,,P,,-0.2
1221,Dale Thayer,TBR,AL,1,0,0,0,0,0,39,16,-3,OF,,0
1222,Ryan Theriot,CHC,NL,677,7,54,21,0.284,0.712,12,0,-1,C-1B,,
1223,Josh Thole*,NYM,NL,59,0,9,1,0.321,0.752,68,0,,P,,0
1224,Clete Thomas*,DET,AL,310,7,39,3,0.24,0.709,74,0,,P,,-0.5
1225,Jim Thome*,TOT,MLB,434,23,77,0,0.249,0.847,105,105,10,SS,,-0.1
1226,Jim Thome*,CHW,AL,417,23,74,0,0.249,0.864,66,53,1,SS-3B-2B-P,,1.4
1227,Jim Thome*,LAD,NL,17,0,3,0,0.235,0.471,146,135,19,OF,,-1
1228,Brad Thompson,STL,NL,14,0,0,0,0.083,0.167,70,36,-2,OF,,
1229,Matt Thornton*,CHW,AL,0,0,0,0,,,34,34,,P,,2.5
1230,Joe Thurston*,STL,NL,307,1,25,4,0.225,0.645,14,0,,P,,0
1231,Jess Todd,TOT,MLB,0,0,0,0,,,16,10,0,3B-1B-SS,,-0.8
1232,Jess Todd,STL,NL,0,0,0,0,,,58,0,,P,,0
1233,Matt Tolbert#,MIN,AL,231,2,19,6,0.232,0.611,18,0,,P,,0
1234,Brett Tomko,TOT,AL,1,0,0,0,0,0,32,21,2,3B-2B-SS,,0
1235,Brett Tomko,NYY,AL,1,0,0,0,0,0,142,142,-14,3B,,3.7
1236,Wyatt Toregas,CLE,AL,60,0,6,0,0.176,0.463,65,0,,P,,-0.5
1237,Yorvit Torrealba,COL,NL,242,2,31,1,0.291,0.732,49,0,,P,,1.3
1238,Andres Torres#,SFG,NL,170,6,23,6,0.27,0.876,74,0,,P,,0.8
1239,Carlos Torres,CHW,AL,3,0,0,0,0,0,12,0,,P,,0.3
1240,J.R. Towles,HOU,NL,53,2,3,0,0.188,0.604,15,0,,P,,0
1241,Andy Tracy*,PHI,NL,12,0,1,0,0.417,1,135,135,9,1B-3B-OF,,-0.2
1242,Chad Tracy*,ARI,NL,288,8,39,1,0.237,0.695,14,14,,P,,0
1243,Matt Treanor,DET,AL,14,0,0,0,0,0.071,124,117,-3,OF,,0.1
1244,Ramon Troncoso,LAD,NL,6,0,0,0,0,0,98,93,-8,OF,,0
1245,Matt Tuiasosopo,SEA,AL,25,1,2,0,0.227,0.689,83,81,-12,2B-OF,,3.2
